layer,plane,line,name,category,opcode,start_us,duration_us,shape,operand_shapes,direct_weights,metadata,source,fused_ops,collectives,hlo_line,hlo_source,group,purpose
1,/device:TPU:0,XLA Ops,copy.1108,data formatting,copy,386.295318,1.980792,"f32[6144,1,4]{0,1,2:T(1,128)}","bf16[6144,1,4]{0,2,1:T(4,128)(2,1)}",gdn_conv_weight,"op_name=""custom_kernel/custom_kernel/convert_element_type"" stack_frame_id=220",/mnt/data/workspace/tpu_benchmark_daily/.venv/lib64/python3.12/site-packages/torch_tpu/_internal/pallas/pallas.py:685,{},[],73393,/mnt/data/workspace/tpu_benchmark_daily/runs/layer-ops-20260923/decode/hlo/pid-372341/module_3197.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,数据复制/布局物化,编译器生成的实际数据复制或物理布局变换；比较 operand_shapes 与 shape 可区分 tiling/维度顺序和 memory space 的变化。
1,/device:TPU:0,XLA Ops,sparse-core-data-format-call.73.cloned.1.call-start,async-start,async-start,674.603842,0.102041,"((), (), s32[]{:S(2)})",,,,,"{""call"": 1}",[],73424,/mnt/data/workspace/tpu_benchmark_daily/runs/layer-ops-20260923/decode/hlo/pid-372341/module_3197.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,SparseCore 布局转换,将数据转换为消费者要求的物理布局；start/update/done 分别表示启动、提交操作数和等待完成，源/目标 tiling 见 shape。
1,/device:TPU:0,XLA Ops,copy_.316,non-fusion elementwise,convert,677.495873,1.198079,f32[128]{0:T(128)},"bf16[128]{0:T(256)(128)(2,1)}",gdn_gated_rms_weight,"op_name=""to_copy/copy_"" stack_frame_id=209",/mnt/data/workspace/tpu_benchmark_daily/.venv/lib64/python3.12/site-packages/vllm/model_executor/layers/layernorm.py:245,{},[],73427,/mnt/data/workspace/tpu_benchmark_daily/runs/layer-ops-20260923/decode/hlo/pid-372341/module_3197.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,FP32 中间计算,将 BF16 中间张量转换为 FP32，供后续归一化、门控或归约计算；不改变模型参数存储 dtype。
1,/device:TPU:0,XLA Ops,abs_reduce_fusion.177,loop fusion,fusion,690.366222,3.367347,"(bf16[64]{0:T(256)(128)(2,1)}, bf16[64,4096]{1,0:T(16,128)(2,1)})","bf16[4096]{0:T(1024)(128)(2,1)}; f32[64]{0:T(128)}; bf16[64,4096]{1,0:T(8,128)(2,1)}; bf16[64,4096]{1,0:T(8,128)(2,1)}; bf16[64,4096]{1,0:T(8,128)(2,1)}",input_rms_weight,"op_name=""custom_kernel/custom_kernel/jit(_quantized_matmul_jax)/reduce_max"" stack_frame_id=443",/mnt/data/workspace/tpu_benchmark_daily/third_party/torchtpu-vllm/src/vllm_torchtpu/kernels/quantized_matmul/util.py:302,"{""convert"": 6, ""add"": 3, ""broadcast"": 2, ""multiply"": 2, ""abs"": 1, ""reduce"": 1, ""copy"": 1, ""tuple"": 1}",[],73433,/mnt/data/workspace/tpu_benchmark_daily/runs/layer-ops-20260923/decode/hlo/pid-372341/module_3197.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,FP8 激活量化,按 token 行计算 max(abs(x))，得到动态 FP8 量化 scale；可能融合前面的 RMSNorm/门控操作。
1,/device:TPU:0,XLA Ops,compare_select_fusion.301,loop fusion,fusion,693.734619,1.235294,f32[64]{0:T(128)},"(bf16[64]{0:T(256)(128)(2,1)}, bf16[64,4096]{1,0:T(16,128)(2,1)})",,"op_name=""custom_kernel/custom_kernel/select_n"" stack_frame_id=203",/mnt/data/workspace/tpu_benchmark_daily/.venv/lib64/python3.12/site-packages/torch_tpu/_internal/pallas/pallas.py:685,"{""convert"": 1, ""broadcast"": 3, ""multiply"": 1, ""compare"": 1, ""select"": 1}",[],73434,/mnt/data/workspace/tpu_benchmark_daily/runs/layer-ops-20260923/decode/hlo/pid-372341/module_3197.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,FP8 量化 scale,计算/保护动态 FP8 scale：max(abs(x))/448；全零行使用非零替代 scale，避免除零。部分 fusion 同时生成 MoE 的有效行 mask。
1,/device:TPU:0,XLA Ops,clamp_convert_fusion.132,loop fusion,fusion,694.971114,2.022809,"f8e4m3fn[64,4096]{1,0:T(32,128)(4,1)}","(bf16[64]{0:T(256)(128)(2,1)}, bf16[64,4096]{1,0:T(16,128)(2,1)}); f32[64]{0:T(128)}",,"op_name=""custom_kernel/custom_kernel/jit(_quantized_matmul_jax)/convert_element_type"" stack_frame_id=446",/mnt/data/workspace/tpu_benchmark_daily/third_party/torchtpu-vllm/src/vllm_torchtpu/kernels/quantized_matmul/util.py:312,"{""broadcast"": 3, ""fusion"": 1, ""convert"": 2, ""divide"": 1, ""clamp"": 1, ""copy"": 1}",[],73435,/mnt/data/workspace/tpu_benchmark_daily/runs/layer-ops-20260923/decode/hlo/pid-372341/module_3197.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,FP8 激活量化,按动态 scale 缩放并截断到 FP8 可表示范围，再转换为 FP8，供后续 MXU GEMM 使用。
1,/device:TPU:0,XLA Ops,fusion.46,convolution fusion,fusion,696.993998,26.366146,"bf16[64,10240]{1,0:T(8,128)(2,1)}","f8e4m3fn[64,4096]{1,0:T(32,128)(4,1)}; f8e4m3fn[10240,4096]{1,0:T(32,128)(4,1)}; f32[10240]{0:T(1024)}; f32[64]{0:T(128)}","projection_weight_scale,qkvz_weight","op_name=""custom_kernel/custom_kernel/jit(_quantized_matmul_jax)/dot_general"" stack_frame_id=447",/mnt/data/workspace/tpu_benchmark_daily/third_party/torchtpu-vllm/src/vllm_torchtpu/kernels/quantized_matmul/util.py:98,"{""fusion"": 2, ""convolution"": 1, ""broadcast"": 2, ""multiply"": 2, ""convert"": 1}",[],73436,/mnt/data/workspace/tpu_benchmark_daily/runs/layer-ops-20260923/decode/hlo/pid-372341/module_3197.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,GDN 输入投影,FP8 QKVZ GEMM：hidden→Q/K/V/Z；融合输出 scale 和类型转换。XProf 的 convolution fusion 在这里是矩阵乘 lowering。
1,/device:TPU:0,XLA Ops,slice_convert_fusion.43,loop fusion,fusion,723.360294,2.39976,"f32[64,6144]{1,0:T(8,128)}","bf16[64,10240]{1,0:T(8,128)(2,1)}",,"op_name=""custom_kernel/custom_kernel/reshape"" stack_frame_id=220",/mnt/data/workspace/tpu_benchmark_daily/.venv/lib64/python3.12/site-packages/torch_tpu/_internal/pallas/pallas.py:685,"{""slice"": 1, ""convert"": 1}",[],73437,/mnt/data/workspace/tpu_benchmark_daily/runs/layer-ops-20260923/decode/hlo/pid-372341/module_3197.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,GDN 输入准备,从 QKVZ 或 B/A 投影中切出 GDN 所需分量，补齐并转换到 FP32；实际 slice/pad/convert 已融合。
1,/device:TPU:0,XLA Ops,reshape.6684,data formatting,reshape,725.759904,3.979592,"f32[64,1,6144]{2,1,0:T(1,128)}","f32[64,6144]{1,0:T(8,128)}",,"op_name=""custom_kernel/custom_kernel/reshape"" stack_frame_id=220",/mnt/data/workspace/tpu_benchmark_daily/.venv/lib64/python3.12/site-packages/torch_tpu/_internal/pallas/pallas.py:685,{},[],73438,/mnt/data/workspace/tpu_benchmark_daily/runs/layer-ops-20260923/decode/hlo/pid-372341/module_3197.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,数据复制/布局物化,编译器生成的实际数据复制或物理布局变换；比较 operand_shapes 与 shape 可区分 tiling/维度顺序和 memory space 的变化。
1,/device:TPU:0,XLA Ops,fusion.1994,convolution fusion,fusion,729.739496,2.15006,"bf16[64,64]{1,0:T(8,128)(2,1)}","(bf16[64]{0:T(256)(128)(2,1)}, bf16[64,4096]{1,0:T(16,128)(2,1)}); bf16[4096,64]{0,1:T(8,128)(2,1)}",gdn_ba_weight,"op_name=""mm/mm"" stack_frame_id=210",/mnt/data/workspace/tpu_benchmark_daily/third_party/torchtpu-vllm/src/vllm_torchtpu/layers/adapter/quantization/unquantized.py:118,"{""fusion"": 2, ""convolution"": 1}",[],73439,/mnt/data/workspace/tpu_benchmark_daily/runs/layer-ops-20260923/decode/hlo/pid-372341/module_3197.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,GDN 门控投影,BF16 GEMM：hidden→B/A 两组门控参数，控制状态写入强度和历史状态衰减。
