layer,plane,line,name,category,opcode,start_us,duration_us,shape,operand_shapes,direct_weights,metadata,source,fused_ops,collectives,hlo_line,hlo_source,group,purpose
3,/device:TPU:0,XLA Ops,abs_reduce_fusion.173,loop fusion,fusion,22250.656888,51.302521,"(bf16[4096]{0:T(1024)(128)(2,1)S(1)}, bf16[4096,4096]{1,0:T(16,128)(2,1)})","bf16[4096]{0:T(1024)(128)(2,1)S(1)}; f32[4096]{0:T(1024)S(1)}; (f32[4096]{0:T(1024)S(1)}, bf16[4096,4096]{1,0:T(16,128)(2,1)}, bf16[4096,4096]{1,0:T(16,128)(2,1)}); (f32[4096]{0:T(1024)S(1)}, bf16[4096,4096]{1,0:T(16,128)(2,1)}, bf16[4096,4096]{1,0:T(16,128)(2,1)}); (f32[4096]{0:T(1024)S(1)}, bf16[4096,4096]{1,0:T(16,128)(2,1)})",input_rms_weight,"op_name=""custom_kernel/custom_kernel/jit(_quantized_matmul_jax)/reduce_max"" stack_frame_id=643",/mnt/data/workspace/tpu_benchmark_daily/third_party/torchtpu-vllm/src/vllm_torchtpu/kernels/quantized_matmul/util.py:302,"{""fusion"": 3, ""convert"": 6, ""add"": 3, ""broadcast"": 2, ""multiply"": 2, ""abs"": 1, ""reduce"": 1, ""copy"": 1, ""tuple"": 1}",[],126350,runs/layer-ops-20260923/dp8/hlo/pid-233147/module_5516.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,FP8 激活量化,按 token 行计算 max(abs(x))，得到动态 FP8 量化 scale；可能融合前面的 RMSNorm/门控操作。
3,/device:TPU:0,XLA Ops,clamp_convert_fusion.128,loop fusion,fusion,22301.968788,16.719088,"f8e4m3fn[4096,4096]{1,0:T(32,128)(4,1)S(1)}","(bf16[4096]{0:T(1024)(128)(2,1)S(1)}, bf16[4096,4096]{1,0:T(16,128)(2,1)}); f32[4096]{0:T(1024)S(1)}",,"op_name=""custom_kernel/custom_kernel/jit(_quantized_matmul_jax)/convert_element_type"" stack_frame_id=646",/mnt/data/workspace/tpu_benchmark_daily/third_party/torchtpu-vllm/src/vllm_torchtpu/kernels/quantized_matmul/util.py:312,"{""broadcast"": 3, ""fusion"": 1, ""convert"": 2, ""divide"": 1, ""clamp"": 1, ""copy"": 1}",[],126352,runs/layer-ops-20260923/dp8/hlo/pid-233147/module_5516.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,FP8 激活量化,按动态 scale 缩放并截断到 FP8 可表示范围，再转换为 FP8，供后续 MXU GEMM 使用。
3,/device:TPU:0,XLA Ops,multiply_convert_fusion.59,convolution fusion,fusion,22319.679622,349.056423,"bf16[4096,17408]{1,0:T(8,128)(2,1)}","f8e4m3fn[4096,4096]{1,0:T(32,128)(4,1)S(1)}; f8e4m3fn[4096,17408]{1,0:T(32,128)(4,1)}; f32[17408]{0:T(1024)S(1)}; f32[4096]{0:T(1024)S(1)}","projection_weight_scale,qkv_gate_weight","op_name=""custom_kernel/custom_kernel/jit(_quantized_matmul_jax)/dot_general"" stack_frame_id=647",/mnt/data/workspace/tpu_benchmark_daily/third_party/torchtpu-vllm/src/vllm_torchtpu/kernels/quantized_matmul/util.py:98,"{""fusion"": 2, ""convolution"": 1, ""broadcast"": 2, ""multiply"": 2, ""convert"": 1}",[],126357,runs/layer-ops-20260923/dp8/hlo/pid-233147/module_5516.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,全注意力输入投影,FP8 GEMM：hidden→Q、输出 gate、K、V；融合量化 scale 和输出转换。
3,/device:TPU:0 SparseCore 0,Sparse Core Ops,copy.12012.cloned.1.call-done,async-done,async-done,22669.040817,104.345738,"bf16[4096,17408]{0,1:T(8,128)(2,1)}","((bf16[4096,17408]{1,0:T(8,128)(2,1)}), bf16[4096,17408]{0,1:T(8,128)(2,1)}, u32[]{:S(8)})",,"op_name=""custom_kernel/custom_kernel/jit(_quantized_matmul_jax)/convert_element_type"" stack_frame_id=650",/mnt/data/workspace/tpu_benchmark_daily/third_party/torchtpu-vllm/src/vllm_torchtpu/kernels/quantized_matmul/util.py:113,{},[],8428,runs/layer-ops-20260923/dp8/hlo/pid-233147/module_5516.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,SparseCore 布局转换,将数据转换为消费者要求的物理布局；start/update/done 分别表示启动、提交操作数和等待完成，源/目标 tiling 见 shape。
3,/device:TPU:0,XLA Ops,sparse-core-data-format-call.95.cloned.1.call-done,async-done,async-done,22704.398635,69.087635,"bf16[4096,17408]{0,1:T(8,128)(2,1)}","((bf16[4096,17408]{1,0:T(8,128)(2,1)}), bf16[4096,17408]{0,1:T(8,128)(2,1)})",,"op_name=""custom_kernel/custom_kernel/jit(_quantized_matmul_jax)/convert_element_type"" stack_frame_id=650",/mnt/data/workspace/tpu_benchmark_daily/third_party/torchtpu-vllm/src/vllm_torchtpu/kernels/quantized_matmul/util.py:113,{},[],126437,runs/layer-ops-20260923/dp8/hlo/pid-233147/module_5516.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,SparseCore 布局转换,将数据转换为消费者要求的物理布局；start/update/done 分别表示启动、提交操作数和等待完成，源/目标 tiling 见 shape。
3,/device:TPU:0,XLA Ops,fusion.556,loop fusion,fusion,22773.487395,8.153661,"(f32[4096,2]{0,1:T(2,128)S(1)}, f8e4m3fn[4096,2,256]{0,2,1:T(8,128)(4,1)})","bf16[4096,68,256]{0,2,1:T(8,128)(2,1)}",,"op_name=""mean/mean"" stack_frame_id=486",/mnt/data/workspace/tpu_benchmark_daily/.venv/lib64/python3.12/site-packages/vllm/ir/ops/layernorm.py:18,"{""slice"": 2, ""convert"": 3, ""multiply"": 1, ""reduce"": 1, ""compare"": 6, ""broadcast"": 3, ""or"": 2, ""select"": 4, ""tuple"": 1}",[],126439,runs/layer-ops-20260923/dp8/hlo/pid-233147/module_5516.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,RMSNorm/residual,计算均方、加 epsilon、rsqrt 和归一化；融合版本同时处理 residual add，具体融合范围见 HLO。
3,/device:TPU:0,XLA Ops,multiply_add_fusion.225,loop fusion,fusion,22781.888356,4.105642,"bf16[4096,2,256]{0,2,1:T(8,128)(2,1)S(1)}","f32[4096,2]{0,1:T(2,128)S(1)}; bf16[4096,68,256]{0,2,1:T(8,128)(2,1)}; bf16[256]{0:T(256)(128)(2,1)S(1)}",qk_rms_weight,"op_name=""add/add"" stack_frame_id=502",/mnt/data/workspace/tpu_benchmark_daily/.venv/lib64/python3.12/site-packages/vllm/ir/ops/layernorm.py:21,"{""slice"": 1, ""convert"": 2, ""broadcast"": 2, ""multiply"": 2, ""add"": 1}",[],126442,runs/layer-ops-20260923/dp8/hlo/pid-233147/module_5516.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,Q/K RMSNorm,对每个 Q/K head 归一化并应用 head 维度的可学习权重；可与邻近算子融合。
3,/device:TPU:0,XLA Ops,fusion.12,loop fusion,fusion,22786.036015,22.086435,"f32[4096,32]{0,1:T(8,128)S(1)}","bf16[4096,34,512]{0,2,1:T(8,128)(2,1)}",,"op_name=""mean/mean"" stack_frame_id=486",/mnt/data/workspace/tpu_benchmark_daily/.venv/lib64/python3.12/site-packages/vllm/ir/ops/layernorm.py:18,"{""slice"": 1, ""convert"": 1, ""multiply"": 1, ""reduce"": 1}",[],126446,runs/layer-ops-20260923/dp8/hlo/pid-233147/module_5516.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,RMSNorm/residual,计算均方、加 epsilon、rsqrt 和归一化；融合版本同时处理 residual add，具体融合范围见 HLO。
3,/device:TPU:0,XLA Ops,multiply_add_fusion.14,loop fusion,fusion,22808.345739,44.587035,"bf16[4096,32,256]{0,2,1:T(8,128)(2,1)}","f32[4096,32]{0,1:T(8,128)S(1)}; bf16[4096,34,512]{0,2,1:T(8,128)(2,1)}; bf16[256]{0:T(256)(128)(2,1)S(1)}",qk_rms_weight,"op_name=""add/add"" stack_frame_id=502",/mnt/data/workspace/tpu_benchmark_daily/.venv/lib64/python3.12/site-packages/vllm/ir/ops/layernorm.py:21,"{""slice"": 1, ""convert"": 2, ""broadcast"": 2, ""multiply"": 2, ""add"": 1}",[],126458,runs/layer-ops-20260923/dp8/hlo/pid-233147/module_5516.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,Q/K RMSNorm,对每个 Q/K head 归一化并应用 head 维度的可学习权重；可与邻近算子融合。
3,/device:TPU:0,XLA Ops,as_strided.725,slice,slice,22852.932923,31.835534,"bf16[4096,32,192]{0,2,1:T(8,128)(2,1)}","bf16[4096,32,256]{0,2,1:T(8,128)(2,1)}",,"op_name=""cat/as_strided"" stack_frame_id=551",/mnt/data/workspace/tpu_benchmark_daily/.venv/lib64/python3.12/site-packages/vllm/model_executor/layers/rotary_embedding/mrope.py:349,{},[],126459,runs/layer-ops-20260923/dp8/hlo/pid-233147/module_5516.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,RoPE,读取位置对应的 cos/sin，旋转 Q/K 的 rotary 部分；本模型只旋转 head_dim 的 1/4。
