layer,plane,line,name,category,opcode,start_us,duration_us,shape,operand_shapes,direct_weights,metadata,source,fused_ops,collectives,hlo_line,hlo_source,group,purpose
1,/device:TPU:0,XLA Ops,copy-start.2307,copy-start,copy-start,9728.734769,0.009604,"(bf16[12288,1,4]{0,2,1:T(4,128)(2,1)S(1)}, bf16[12288,1,4]{0,2,1:T(4,128)(2,1)}, u32[]{:S(2)})","bf16[12288,1,4]{0,2,1:T(4,128)(2,1)}",gdn_conv_weight,,,{},[],149231,runs/layer-ops-20260923/pcp8/hlo/pid-290362/module_9043.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,DMA 搬运,启动 DMA 搬运。
1,/device:TPU:0,XLA Ops,copy-start.3484,copy-start,copy-start,9732.335159,0.009604,"(bf16[64]{0:T(256)(128)(2,1)S(1)}, bf16[64]{0:T(256)(128)(2,1)}, u32[]{:S(2)})","bf16[64]{0:T(256)(128)(2,1)}",gdn_decay_gate_parameter,,,{},[],149254,runs/layer-ops-20260923/pcp8/hlo/pid-290362/module_9043.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,DMA 搬运,启动 DMA 搬运。
1,/device:TPU:0,XLA Ops,copy-start.3485,copy-start,copy-start,9732.351816,0.008403,"(f32[64]{0:T(128)S(1)}, f32[64]{0:T(128)}, u32[]{:S(2)})",f32[64]{0:T(128)},gdn_decay_gate_parameter,,,{},[],149255,runs/layer-ops-20260923/pcp8/hlo/pid-290362/module_9043.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,DMA 搬运,启动 DMA 搬运。
1,/device:TPU:0,XLA Ops,copy-start.3843,copy-start,copy-start,9732.368623,0.008403,"(bf16[128]{0:T(256)(128)(2,1)S(1)}, bf16[128]{0:T(256)(128)(2,1)}, u32[]{:S(2)})","bf16[128]{0:T(256)(128)(2,1)}",gdn_gated_rms_weight,,,{},[],149256,runs/layer-ops-20260923/pcp8/hlo/pid-290362/module_9043.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,DMA 搬运,启动 DMA 搬运。
1,/device:TPU:0,XLA Ops,copy-done.2307,copy-done,copy-done,9766.83561,0.002401,"bf16[12288,1,4]{0,2,1:T(4,128)(2,1)S(1)}","(bf16[12288,1,4]{0,2,1:T(4,128)(2,1)S(1)}, bf16[12288,1,4]{0,2,1:T(4,128)(2,1)}, u32[]{:S(2)})",gdn_conv_weight,,,{},[],149273,runs/layer-ops-20260923/pcp8/hlo/pid-290362/module_9043.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,DMA 搬运,等待对应 DMA 完成；与 copy-start 是同一次搬运的两端，不能重复计算搬运量。
1,/device:TPU:0,XLA Ops,constant_dynamic-update-slice_fusion.47,loop fusion,fusion,9766.838011,0.003601,"bf16[12288,1,4]{0,2,1:T(4,128)(2,1)S(1)}","bf16[12288,1,4]{0,2,1:T(4,128)(2,1)S(1)}",gdn_conv_weight,,,"{""custom-call"": 1, ""slice"": 1, ""dynamic-update-slice"": 1}",[],149274,runs/layer-ops-20260923/pcp8/hlo/pid-290362/module_9043.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,PCP Conv 权重重排,切取并拼回 Conv 权重片段，形成 PCP head shard 所需的 Q/K/V 顺序；这是本轮 trace 中真实执行的重排。
1,/device:TPU:0,XLA Ops,constant_dynamic-update-slice_fusion.46,loop fusion,fusion,9766.842737,0.010804,"bf16[12288,1,4]{0,2,1:T(4,128)(2,1)S(1)}","bf16[12288,1,4]{0,2,1:T(4,128)(2,1)S(1)}; bf16[12288,1,4]{0,2,1:T(4,128)(2,1)S(1)}",gdn_conv_weight,,,"{""slice"": 1, ""dynamic-update-slice"": 1}",[],149275,runs/layer-ops-20260923/pcp8/hlo/pid-290362/module_9043.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,PCP Conv 权重重排,切取并拼回 Conv 权重片段，形成 PCP head shard 所需的 Q/K/V 顺序；这是本轮 trace 中真实执行的重排。
1,/device:TPU:0,XLA Ops,constant_dynamic-update-slice_fusion.45,loop fusion,fusion,9766.853617,0.012005,"bf16[12288,1,4]{0,2,1:T(4,128)(2,1)S(1)}","bf16[12288,1,4]{0,2,1:T(4,128)(2,1)S(1)}; bf16[12288,1,4]{0,2,1:T(4,128)(2,1)S(1)}",gdn_conv_weight,,,"{""slice"": 1, ""dynamic-update-slice"": 1}",[],149276,runs/layer-ops-20260923/pcp8/hlo/pid-290362/module_9043.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,PCP Conv 权重重排,切取并拼回 Conv 权重片段，形成 PCP head shard 所需的 Q/K/V 顺序；这是本轮 trace 中真实执行的重排。
1,/device:TPU:0,XLA Ops,constant_dynamic-update-slice_fusion.44,loop fusion,fusion,9766.867948,0.010804,"bf16[12288,1,4]{0,2,1:T(4,128)(2,1)S(1)}","bf16[12288,1,4]{0,2,1:T(4,128)(2,1)S(1)}; bf16[12288,1,4]{0,2,1:T(4,128)(2,1)S(1)}",gdn_conv_weight,,,"{""slice"": 1, ""dynamic-update-slice"": 1}",[],149277,runs/layer-ops-20260923/pcp8/hlo/pid-290362/module_9043.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,PCP Conv 权重重排,切取并拼回 Conv 权重片段，形成 PCP head shard 所需的 Q/K/V 顺序；这是本轮 trace 中真实执行的重排。
1,/device:TPU:0,XLA Ops,constant_dynamic-update-slice_fusion.43,loop fusion,fusion,9766.881228,0.010804,"bf16[12288,1,4]{0,2,1:T(4,128)(2,1)S(1)}","bf16[12288,1,4]{0,2,1:T(4,128)(2,1)S(1)}; bf16[12288,1,4]{0,2,1:T(4,128)(2,1)S(1)}",gdn_conv_weight,,,"{""slice"": 1, ""dynamic-update-slice"": 1}",[],149278,runs/layer-ops-20260923/pcp8/hlo/pid-290362/module_9043.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,PCP Conv 权重重排,切取并拼回 Conv 权重片段，形成 PCP head shard 所需的 Q/K/V 顺序；这是本轮 trace 中真实执行的重排。
