layer,plane,line,name,category,opcode,start_us,duration_us,shape,operand_shapes,direct_weights,metadata,source,fused_ops,collectives,hlo_line,hlo_source,group,purpose
3,/device:TPU:0,XLA Ops,abs_reduce_fusion.131,loop fusion,fusion,27151.288191,51.262905,"(bf16[4096]{0:T(1024)(128)(2,1)S(1)}, bf16[4096,4096]{1,0:T(16,128)(2,1)})","bf16[4096]{0:T(1024)(128)(2,1)S(1)}; f32[4096]{0:T(1024)S(1)}; (f32[4096]{0:T(1024)S(1)}, bf16[4096,4096]{1,0:T(16,128)(2,1)}, bf16[4096,4096]{1,0:T(16,128)(2,1)}); (f32[4096]{0:T(1024)S(1)}, bf16[4096,4096]{1,0:T(16,128)(2,1)}, bf16[4096,4096]{1,0:T(16,128)(2,1)}); (f32[4096]{0:T(1024)S(1)}, bf16[4096,4096]{1,0:T(16,128)(2,1)})",input_rms_weight,"op_name=""custom_kernel/custom_kernel/jit(_quantized_matmul_jax)/reduce_max"" stack_frame_id=1753",/mnt/data/workspace/tpu_benchmark_daily/third_party/torchtpu-vllm/src/vllm_torchtpu/kernels/quantized_matmul/util.py:302,"{""fusion"": 3, ""convert"": 6, ""add"": 3, ""broadcast"": 2, ""multiply"": 2, ""abs"": 1, ""reduce"": 1, ""copy"": 1, ""tuple"": 1}",[],150837,runs/layer-ops-20260923/pcp8/hlo/pid-290362/module_9043.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,FP8 激活量化,按 token 行计算 max(abs(x))，得到动态 FP8 量化 scale；可能融合前面的 RMSNorm/门控操作。
3,/device:TPU:0,XLA Ops,clamp_convert_fusion.131,loop fusion,fusion,27205.168293,16.679472,"f8e4m3fn[4096,4096]{1,0:T(32,128)(4,1)S(1)}","(bf16[4096]{0:T(1024)(128)(2,1)S(1)}, bf16[4096,4096]{1,0:T(16,128)(2,1)}); f32[4096]{0:T(1024)S(1)}",,"op_name=""custom_kernel/custom_kernel/jit(_quantized_matmul_jax)/convert_element_type"" stack_frame_id=1756",/mnt/data/workspace/tpu_benchmark_daily/third_party/torchtpu-vllm/src/vllm_torchtpu/kernels/quantized_matmul/util.py:312,"{""broadcast"": 3, ""fusion"": 1, ""convert"": 2, ""divide"": 1, ""clamp"": 1, ""copy"": 1}",[],150848,runs/layer-ops-20260923/pcp8/hlo/pid-290362/module_9043.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,FP8 激活量化,按动态 scale 缩放并截断到 FP8 可表示范围，再转换为 FP8，供后续 MXU GEMM 使用。
3,/device:TPU:0,XLA Ops,multiply_convert_fusion.14,convolution fusion,fusion,27222.665066,348.519808,"bf16[4096,17408]{1,0:T(8,128)(2,1)}","f8e4m3fn[4096,4096]{1,0:T(32,128)(4,1)S(1)}; f8e4m3fn[4096,17408]{1,0:T(32,128)(4,1)}; f32[17408]{0:T(1024)S(1)}; f32[4096]{0:T(1024)S(1)}","projection_weight_scale,qkv_gate_weight","op_name=""custom_kernel/custom_kernel/jit(_quantized_matmul_jax)/dot_general"" stack_frame_id=1757",/mnt/data/workspace/tpu_benchmark_daily/third_party/torchtpu-vllm/src/vllm_torchtpu/kernels/quantized_matmul/util.py:98,"{""fusion"": 2, ""convolution"": 1, ""broadcast"": 2, ""multiply"": 2, ""convert"": 1}",[],150853,runs/layer-ops-20260923/pcp8/hlo/pid-290362/module_9043.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,全注意力输入投影,FP8 GEMM：hidden→Q、输出 gate、K、V；融合量化 scale 和输出转换。
3,/device:TPU:0 SparseCore 0,Sparse Core Ops,copy.26424.cloned.1.call-done,async-done,async-done,27571.470739,101.343337,"bf16[4096,17408]{0,1:T(8,128)(2,1)}","((bf16[4096,17408]{1,0:T(8,128)(2,1)}), bf16[4096,17408]{0,1:T(8,128)(2,1)}, u32[]{:S(8)})",,"op_name=""custom_kernel/custom_kernel/jit(_quantized_matmul_jax)/convert_element_type"" stack_frame_id=1760",/mnt/data/workspace/tpu_benchmark_daily/third_party/torchtpu-vllm/src/vllm_torchtpu/kernels/quantized_matmul/util.py:113,{},[],16147,runs/layer-ops-20260923/pcp8/hlo/pid-290362/module_9043.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,SparseCore 布局转换,将数据转换为消费者要求的物理布局；start/update/done 分别表示启动、提交操作数和等待完成，源/目标 tiling 见 shape。
3,/device:TPU:0,XLA Ops,fusion.428,loop fusion,fusion,27912.026411,11.070828,"(f32[4096,2]{0,1:T(2,128)S(1)}, f8e4m3fn[4096,2,256]{0,2,1:T(8,128)(4,1)})","bf16[4096,68,256]{0,2,1:T(8,128)(2,1)}",,"op_name=""mean/mean"" stack_frame_id=1269",/mnt/data/workspace/tpu_benchmark_daily/.venv/lib64/python3.12/site-packages/vllm/ir/ops/layernorm.py:18,"{""slice"": 2, ""convert"": 3, ""multiply"": 1, ""reduce"": 1, ""compare"": 6, ""broadcast"": 3, ""or"": 2, ""select"": 4, ""tuple"": 1}",[],150952,runs/layer-ops-20260923/pcp8/hlo/pid-290362/module_9043.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,RMSNorm/residual,计算均方、加 epsilon、rsqrt 和归一化；融合版本同时处理 residual add，具体融合范围见 HLO。
3,/device:TPU:0,XLA Ops,multiply_add_fusion.225,loop fusion,fusion,27923.632728,4.454982,"bf16[4096,2,256]{0,2,1:T(8,128)(2,1)S(1)}","f32[4096,2]{0,1:T(2,128)S(1)}; bf16[4096,68,256]{0,2,1:T(8,128)(2,1)}; bf16[256]{0:T(256)(128)(2,1)S(1)}",qk_rms_weight,"op_name=""add/add"" stack_frame_id=1277",/mnt/data/workspace/tpu_benchmark_daily/.venv/lib64/python3.12/site-packages/vllm/ir/ops/layernorm.py:21,"{""slice"": 1, ""convert"": 2, ""broadcast"": 2, ""multiply"": 2, ""add"": 1}",[],150956,runs/layer-ops-20260923/pcp8/hlo/pid-290362/module_9043.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,Q/K RMSNorm,对每个 Q/K head 归一化并应用 head 维度的可学习权重；可与邻近算子融合。
3,/device:TPU:0,XLA Ops,fusion.7,loop fusion,fusion,27928.129652,22.157263,"f32[4096,32]{0,1:T(8,128)S(1)}","bf16[4096,34,512]{0,2,1:T(8,128)(2,1)}",,"op_name=""mean/mean"" stack_frame_id=1269",/mnt/data/workspace/tpu_benchmark_daily/.venv/lib64/python3.12/site-packages/vllm/ir/ops/layernorm.py:18,"{""slice"": 1, ""convert"": 1, ""multiply"": 1, ""reduce"": 1}",[],150960,runs/layer-ops-20260923/pcp8/hlo/pid-290362/module_9043.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,RMSNorm/residual,计算均方、加 epsilon、rsqrt 和归一化；融合版本同时处理 residual add，具体融合范围见 HLO。
3,/device:TPU:0,XLA Ops,multiply_add_fusion.14,loop fusion,fusion,27950.444253,43.022809,"bf16[4096,32,256]{0,2,1:T(8,128)(2,1)}","f32[4096,32]{0,1:T(8,128)S(1)}; bf16[4096,34,512]{0,2,1:T(8,128)(2,1)}; bf16[256]{0:T(256)(128)(2,1)S(1)}",qk_rms_weight,"op_name=""add/add"" stack_frame_id=1277",/mnt/data/workspace/tpu_benchmark_daily/.venv/lib64/python3.12/site-packages/vllm/ir/ops/layernorm.py:21,"{""slice"": 1, ""convert"": 2, ""broadcast"": 2, ""multiply"": 2, ""add"": 1}",[],150965,runs/layer-ops-20260923/pcp8/hlo/pid-290362/module_9043.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,Q/K RMSNorm,对每个 Q/K head 归一化并应用 head 维度的可学习权重；可与邻近算子融合。
3,/device:TPU:0,XLA Ops,as_strided.542,slice,slice,27993.467062,32.283313,"bf16[4096,32,192]{0,2,1:T(8,128)(2,1)}","bf16[4096,32,256]{0,2,1:T(8,128)(2,1)}",,"op_name=""cat/as_strided"" stack_frame_id=1334",/mnt/data/workspace/tpu_benchmark_daily/.venv/lib64/python3.12/site-packages/vllm/model_executor/layers/rotary_embedding/mrope.py:349,{},[],150966,runs/layer-ops-20260923/pcp8/hlo/pid-290362/module_9043.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,RoPE,读取位置对应的 cos/sin，旋转 Q/K 的 rotary 部分；本模型只旋转 head_dim 的 1/4。
3,/device:TPU:0,XLA Ops,multiply_subtract_fusion.14,loop fusion,fusion,28025.750376,7.008403,"(bf16[4096,32,32]{0,2,1:T(8,128)(2,1)S(1)}, bf16[4096,32,32]{0,2,1:T(8,128)(2,1)S(1)})","bf16[4096,32,256]{0,2,1:T(8,128)(2,1)}; bf16[4096,32]{0,1:T(8,128)(2,1)S(1)}; bf16[4096,32]{0,1:T(8,128)(2,1)S(1)}",,"op_name=""sub/sub"" stack_frame_id=1332",/mnt/data/workspace/tpu_benchmark_daily/.venv/lib64/python3.12/site-packages/vllm/model_executor/layers/rotary_embedding/common.py:176,"{""slice"": 2, ""broadcast"": 2, ""multiply"": 4, ""subtract"": 1, ""add"": 1, ""tuple"": 1}",[],150967,runs/layer-ops-20260923/pcp8/hlo/pid-290362/module_9043.tt_jit_layernorm_L62C0_fused_add_rms_norm_add.cl_972931731.after_codegen.txt,RoPE,读取位置对应的 cos/sin，旋转 Q/K 的 rotary 部分；本模型只旋转 head_dim 的 1/4。
