run_id,benchmark_config,status,decode_status,started_at,completed_at,machine_ip,model,input_length,output_length,best_total_token_throughput,best_request_throughput,best_concurrency,mean_ttft_ms,p99_ttft_ms,decode_legacy_peak_output_throughput,decode_legacy_min_tpot_ms,decode_window_p50_throughput,decode_peak_active_tpot_p50_ms,torchtpu_vllm_revision,torch_tpu_revision,torch_tpu_version,summary_path
20260728T012922Z,dp8,success,failed,2026-07-28T01:29:22+00:00,2026-07-28T02:15:37+00:00,10.42.4.56,Qwen3.5-397B-A17B-FP8,8192,1,49810.010507155144,6.0795814118339,32,5134.449709107372,6538.251806409535,,,-1.0,,0026193187e184f0a300fe527d7485a7b9b90112,,0.1.1.dev20260714090201,runs/20260728T012922Z/results/dp8/summary.json
20260728T012922Z,pcp8,success,not-run,2026-07-28T01:29:22+00:00,2026-07-28T02:45:46+00:00,10.42.4.56,Qwen3.5-397B-A17B-FP8,8192,1,40990.71176140714,5.003138259661557,32,6210.854723964502,6404.723756026215,,,,,0026193187e184f0a300fe527d7485a7b9b90112,,0.1.1.dev20260714090201,runs/20260728T012922Z/results/pcp8/summary.json
20260728T052903Z,dp8,not-run,success,2026-07-28T05:29:03+00:00,2026-07-28T06:20:19+00:00,10.42.4.56,Qwen3.5-397B-A17B-FP8,8192,1,,,,,,,,3939.3333333333335,46.693124997545965,13a63bd52a5076183659f83c2db055da93be2d4e,,0.1.1.dev20260714090201,
20260728T062428Z,dp8,failed,not-run,2026-07-28T06:24:28+00:00,2026-07-28T06:28:36+00:00,10.42.4.56,Qwen3.5-397B-A17B-FP8,8192,1,-1.0,-1.0,,,,,,,,13a63bd52a5076183659f83c2db055da93be2d4e,,0.1.1.dev20260714090201,
20260728T062912Z,pcp8,failed,not-run,2026-07-28T06:29:12+00:00,2026-07-28T06:33:01+00:00,10.42.4.56,Qwen3.5-397B-A17B-FP8,8192,1,-1.0,-1.0,,,,,,,,13a63bd52a5076183659f83c2db055da93be2d4e,,0.1.1.dev20260714090201,
20260728T063339Z,dp8,success,not-run,2026-07-28T06:33:39+00:00,2026-07-28T07:03:52+00:00,10.42.4.56,Qwen3.5-397B-A17B-FP8,8192,1,44300.89629776563,5.407164200874604,64,11180.276466234374,13206.42073960771,,,,,13a63bd52a5076183659f83c2db055da93be2d4e,,0.1.1.dev20260714090201,runs/20260728T063339Z/results/dp8/summary.json
20260728T070911Z,pcp8,failed,not-run,2026-07-28T07:09:11+00:00,2026-07-28T07:29:01+00:00,10.42.4.56,Qwen3.5-397B-A17B-FP8,8192,1,-1.0,-1.0,,,,,,,,13a63bd52a5076183659f83c2db055da93be2d4e,,0.1.1.dev20260714090201,
20260728T110401Z,dp8,failed,failed,2026-07-28T11:04:01+00:00,2026-07-28T11:48:29+00:00,10.42.4.56,Qwen3.5-397B-A17B-FP8,8192,1,-1.0,-1.0,,,,,,-1.0,,25c1985e4b856aba0cf7d0f40c284ecbd4b68ea7,,0.1.1.dev20260714090201,
20260728T110401Z,pcp8,failed,not-run,2026-07-28T11:04:01+00:00,2026-07-28T11:48:29+00:00,10.42.4.56,Qwen3.5-397B-A17B-FP8,8192,1,-1.0,-1.0,,,,,,,,25c1985e4b856aba0cf7d0f40c284ecbd4b68ea7,,0.1.1.dev20260714090201,
20260728T120139Z,dp8,success,success,2026-07-28T12:01:39+00:00,2026-07-28T13:18:35+00:00,10.42.4.56,Qwen3.5-397B-A17B-FP8,8192,1,49867.93307203393,6.086651174421327,32,5128.458910150528,6517.872646169708,,,3940.066666666667,46.63972133130301,25c1985e4b856aba0cf7d0f40c284ecbd4b68ea7,,0.1.1.dev20260714090201,runs/20260728T120139Z/results/dp8/summary.json
20260728T120139Z,pcp8,success,not-run,2026-07-28T12:01:39+00:00,2026-07-28T13:45:05+00:00,10.42.4.56,Qwen3.5-397B-A17B-FP8,8192,1,41011.87418838341,5.005721248429563,16,3153.1128223593328,3224.556197720958,,,,,25c1985e4b856aba0cf7d0f40c284ecbd4b68ea7,,0.1.1.dev20260714090201,runs/20260728T120139Z/results/pcp8/summary.json
20260728T160001Z,dp8,success,failed,2026-07-28T16:00:01+00:00,2026-07-28T16:27:09+00:00,10.42.4.56,Qwen3.5-397B-A17B-FP8,8192,1,49812.036825275914,6.079828734929319,64,9942.653194756247,11750.943806634457,,,-1.0,,d1327935a29bf3a84155b2f73380a2b874f8f7c3,,0.1.1.dev20260714090201,runs/20260728T160001Z/results/dp8/summary.json
20260728T160001Z,pcp8,failed,not-run,2026-07-28T16:00:01+00:00,2026-07-28T16:45:28+00:00,10.42.4.56,Qwen3.5-397B-A17B-FP8,8192,1,-1.0,-1.0,,,,,,,,d1327935a29bf3a84155b2f73380a2b874f8f7c3,,0.1.1.dev20260714090201,
20260728T233050Z,pcp8,success,not-run,2026-07-28T23:30:50+00:00,2026-07-29T00:44:23+00:00,10.42.4.56,Qwen3.5-397B-A17B-FP8,8192,1,41006.13343585828,5.005020558508273,16,3153.4737522516707,3223.862367894617,,,,,bd7bad876f71afef3b184d9ecd59ce917f600694,,0.1.1.dev20260714090201,runs/20260728T233050Z/results/pcp8/summary.json
20260728T233050Z,dp8,failed,success,2026-07-28T23:30:50+00:00,2026-07-29T00:54:20+00:00,10.42.4.56,Qwen3.5-397B-A17B-FP8,8192,1,-1.0,-1.0,,,,,,3937.7000000000003,46.668810003514714,bd7bad876f71afef3b184d9ecd59ce917f600694,,0.1.1.dev20260714090201,
